YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-05,WEEKDAY,13,TRAIN,SE3,3506,3015
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1868,1368
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,EW30,938,1065
2019-05,WEEKDAY,20,TRAIN,EW30,4766,1182
2019-05,WEEKDAY,12,TRAIN,NS17,16827,7928
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,NS17,10851,3764
2019-05,WEEKDAY,12,TRAIN,CC15,29722,38965
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,CC15,17603,18810
2019-05,WEEKDAY,15,TRAIN,EW26,19108,22127
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,EW26,14088,14064
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,EW23,19813,16003
2019-05,WEEKDAY,9,TRAIN,EW23,50324,50734
2019-05,WEEKDAY,21,TRAIN,DT34,2569,5706
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,DT34,787,2321
2019-05,WEEKDAY,15,TRAIN,NS5,23368,27020
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,NS5,13532,14139
2019-05,WEEKDAY,11,TRAIN,DT13,7345,11990
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,DT13,4146,6559
2019-05,WEEKDAY,20,TRAIN,DT27,7921,8420
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2075,4122
2019-05,WEEKDAY,20,TRAIN,SW3,860,3409
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,SW3,528,1286
2019-05,WEEKDAY,14,TRAIN,NE3,19050,25358
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,EW16,2378,2266
2019-05,WEEKDAY,14,TRAIN,EW16,6274,7916
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,NE3,7647,5753
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4640,7116
2019-05,WEEKDAY,20,TRAIN,DT5,12801,19720
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,DT22,4144,5359
2019-05,WEEKDAY,15,TRAIN,DT22,5722,6081
2019-05,WEEKDAY,21,TRAIN,CC27,6679,713
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,CC27,1250,317
2019-05,WEEKDAY,15,TRAIN,SE4,2629,3758
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1760,1731
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,PW6,302,483
2019-05,WEEKDAY,19,TRAIN,PW6,667,2284
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5416,4479
2019-05,WEEKDAY,8,TRAIN,NE10,41797,37834
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,EW26,13940,17871
2019-05,WEEKDAY,19,TRAIN,EW26,27203,77345
2019-05,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1568,260
2019-05,WEEKDAY,6,TRAIN,BP3,15294,1137
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,EW12,28079,42475
2019-05,WEEKDAY,13,TRAIN,DT14,27457,20599
2019-05,WEEKDAY,13,TRAIN,EW12,52113,51261
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,DT14,10188,13341
2019-05,WEEKDAY,8,TRAIN,CG2,16522,44348
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,CG2,7766,13002
2019-05,WEEKDAY,20,TRAIN,NE13,16158,32060
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7023,11611
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,NS17,5953,5664
2019-05,WEEKDAY,19,TRAIN,CC15,45114,85370
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,CC15,14313,19160
2019-05,WEEKDAY,19,TRAIN,NS17,20229,31355
2019-05,WEEKENDS/HOLIDAY,23,TRAIN,CC17,106,709
2019-05,WEEKDAY,23,TRAIN,CC17,363,1390
2019-05,WEEKDAY,10,TRAIN,DT18,5877,28768
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1326,3422
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,EW23,20078,23952
2019-05,WEEKDAY,19,TRAIN,EW23,66612,88866
2019-05,WEEKDAY,14,TRAIN,EW15,37957,37174
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,EW15,12228,11254
2019-05,WEEKDAY,23,TRAIN,DT14,10246,3048
2019-05,WEEKENDS/HOLIDAY,23,TRAIN,DT14,5040,1544
2019-05,WEEKENDS/HOLIDAY,23,TRAIN,EW12,7894,7074
2019-05,WEEKDAY,23,TRAIN,EW12,14997,12935
2019-05,WEEKDAY,10,TRAIN,NS4,3137,3435
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,BP1,16750,11970
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,NS4,1896,2195
2019-05,WEEKDAY,10,TRAIN,BP1,28274,19629
2019-05,WEEKDAY,22,TRAIN,NS5,9802,36997
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,NS5,5228,16094
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,SE3,300,2115
2019-05,WEEKDAY,22,TRAIN,SE3,490,4767
